,trade_id,date,asset,trip,action,type,price,status
0,1,2020-01-03,IVV,ENTER,BUY,LMT,323.06,SUBMITTED
1,1,2020-01-03,IVV,ENTER,BUY,LMT,323.06,FILLED
2,1,2020-01-03,IVV,EXIT,SELL,LMT,326.2906,SUBMITTED
3,1,2020-01-08,IVV,EXIT,SELL,LMT,326.2906,FILLED
4,2,2020-01-06,IVV,ENTER,BUY,LMT,320.57,SUBMITTED
5,2,2020-01-08,IVV,ENTER,BUY,LMT,320.57,CANCELLED
6,3,2020-01-07,IVV,ENTER,BUY,LMT,321.84,SUBMITTED
7,3,2020-01-09,IVV,ENTER,BUY,LMT,321.84,CANCELLED
8,4,2020-01-08,IVV,ENTER,BUY,LMT,320.96,SUBMITTED
9,4,2020-01-10,IVV,ENTER,BUY,LMT,320.96,CANCELLED
10,5,2020-01-09,IVV,ENTER,BUY,LMT,322.59,SUBMITTED
11,5,2020-01-13,IVV,ENTER,BUY,LMT,322.59,CANCELLED
12,6,2020-01-10,IVV,ENTER,BUY,LMT,324.77,SUBMITTED
13,6,2020-01-14,IVV,ENTER,BUY,LMT,324.77,CANCELLED
14,7,2020-01-13,IVV,ENTER,BUY,LMT,323.87,SUBMITTED
15,7,2020-01-15,IVV,ENTER,BUY,LMT,323.87,CANCELLED
16,8,2020-01-14,IVV,ENTER,BUY,LMT,326.14,SUBMITTED
17,8,2020-01-16,IVV,ENTER,BUY,LMT,326.14,CANCELLED
18,9,2020-01-15,IVV,ENTER,BUY,LMT,325.63,SUBMITTED
19,9,2020-01-17,IVV,ENTER,BUY,LMT,325.63,CANCELLED
20,10,2020-01-16,IVV,ENTER,BUY,LMT,326.36,SUBMITTED
21,10,2020-01-21,IVV,ENTER,BUY,LMT,326.36,CANCELLED
22,11,2020-01-17,IVV,ENTER,BUY,LMT,329.08,SUBMITTED
23,11,2020-01-22,IVV,ENTER,BUY,LMT,329.08,CANCELLED
24,12,2020-01-21,IVV,ENTER,BUY,LMT,330.16,SUBMITTED
25,12,2020-01-23,IVV,ENTER,BUY,LMT,330.16,CANCELLED
26,13,2020-01-22,IVV,ENTER,BUY,LMT,329.45,SUBMITTED
27,13,2020-01-24,IVV,ENTER,BUY,LMT,329.45,FILLED
28,13,2020-01-24,IVV,EXIT,SELL,LMT,332.7445,SUBMITTED
29,13,2020-01-31,IVV,EXIT,SELL,LMT,332.7445,CANCELLED
30,13,2020-01-31,IVV,EXIT,SELL,MKT,323.24,FILLED
31,14,2020-01-23,IVV,ENTER,BUY,LMT,329.52,SUBMITTED
32,14,2020-01-24,IVV,ENTER,BUY,LMT,329.52,FILLED
33,14,2020-01-24,IVV,EXIT,SELL,LMT,332.8152,SUBMITTED
34,14,2020-01-31,IVV,EXIT,SELL,LMT,332.8152,CANCELLED
35,14,2020-01-31,IVV,EXIT,SELL,MKT,323.24,FILLED
36,15,2020-01-24,IVV,ENTER,BUY,LMT,329.93,SUBMITTED
37,15,2020-01-24,IVV,ENTER,BUY,LMT,329.93,FILLED
38,15,2020-01-24,IVV,EXIT,SELL,LMT,333.2293,SUBMITTED
39,15,2020-01-31,IVV,EXIT,SELL,LMT,333.2293,CANCELLED
40,15,2020-01-31,IVV,EXIT,SELL,MKT,323.24,FILLED
41,16,2020-01-27,IVV,ENTER,BUY,LMT,326.93,SUBMITTED
42,16,2020-01-27,IVV,ENTER,BUY,LMT,326.93,FILLED
43,16,2020-01-27,IVV,EXIT,SELL,LMT,330.1993,SUBMITTED
44,16,2020-02-03,IVV,EXIT,SELL,LMT,330.1993,CANCELLED
45,16,2020-02-03,IVV,EXIT,SELL,MKT,325.56,FILLED
46,17,2020-01-28,IVV,ENTER,BUY,LMT,321.62,SUBMITTED
47,17,2020-01-30,IVV,ENTER,BUY,LMT,321.62,CANCELLED
48,18,2020-01-29,IVV,ENTER,BUY,LMT,325.05,SUBMITTED
49,18,2020-01-30,IVV,ENTER,BUY,LMT,325.05,FILLED
50,18,2020-01-30,IVV,EXIT,SELL,LMT,328.3005,SUBMITTED
51,18,2020-01-30,IVV,EXIT,SELL,LMT,328.3005,FILLED
52,19,2020-01-30,IVV,ENTER,BUY,LMT,324.82,SUBMITTED
