,trade_id,asset,dt_enter,dt_exit,success,n,rtn
0,1,IVV,2020-01-03,2020-01-08,1,4,0.002487582713292023
1,2,IVV,2020-01-06,,0,3,
2,3,IVV,2020-01-07,,0,3,
3,4,IVV,2020-01-08,,0,3,
4,5,IVV,2020-01-09,,0,3,
5,6,IVV,2020-01-10,,0,3,
6,7,IVV,2020-01-13,,0,3,
7,8,IVV,2020-01-14,,0,3,
8,9,IVV,2020-01-15,,0,3,
9,10,IVV,2020-01-16,,0,4,
10,11,IVV,2020-01-17,,0,4,
11,12,IVV,2020-01-21,,0,3,
12,13,IVV,2020-01-22,2020-01-31,-1,6,-0.0031715859990969915
13,14,IVV,2020-01-23,2020-01-31,-1,6,-0.0032069947937630513
14,15,IVV,2020-01-24,2020-01-31,-1,6,-0.003414238230378584
15,16,IVV,2020-01-27,2020-02-03,-1,6,-0.0006998840407425075
16,17,IVV,2020-01-28,,0,3,
17,18,IVV,2020-01-29,2020-01-30,1,1,0.009950330853168092
18,19,IVV,2020-01-30,2020-02-04,1,3,0.003316776951056031
19,20,IVV,2020-01-31,2020-02-04,1,3,0.003316776951056031
20,21,IVV,2020-02-03,,0,3,
21,22,IVV,2020-02-04,,0,3,
22,23,IVV,2020-02-05,,0,3,
23,24,IVV,2020-02-06,,0,3,
24,25,IVV,2020-02-07,,0,3,
25,26,IVV,2020-02-10,,0,3,
26,27,IVV,2020-02-11,,0,3,
27,28,IVV,2020-02-12,,0,3,
28,29,IVV,2020-02-13,,0,4,
29,30,IVV,2020-02-14,,0,4,
30,31,IVV,2020-02-18,2020-02-27,-1,6,-0.019447520356638298
31,32,IVV,2020-02-19,2020-02-28,-1,6,-0.020619484110248176
32,33,IVV,2020-02-20,2020-02-27,-1,6,-0.01984425148104786
33,34,IVV,2020-02-21,2020-02-28,-1,6,-0.020733913683343774
34,35,IVV,2020-02-24,2020-03-02,-1,6,-0.011041426579481532
35,36,IVV,2020-02-25,2020-03-03,-1,6,-0.010232172000973204
36,37,IVV,2020-02-26,2020-03-03,1,4,0.002487582713292023
37,38,IVV,2020-02-27,2020-03-03,1,4,0.002487582713292023
38,39,IVV,2020-02-28,2020-03-02,1,2,0.004975165426584046
39,40,IVV,2020-03-02,,0,3,
40,41,IVV,2020-03-03,2020-03-04,1,2,0.004975165426584046
41,42,IVV,2020-03-04,2020-03-13,-1,6,-0.015759440738674694
42,43,IVV,2020-03-05,2020-03-12,-1,6,-0.03740467883442775
43,44,IVV,2020-03-06,2020-03-13,-1,6,-0.017005552462511387
44,45,IVV,2020-03-09,2020-03-16,-1,6,-0.034706740993635805
45,46,IVV,2020-03-10,2020-03-11,1,1,0.009950330853168092
46,47,IVV,2020-03-11,2020-03-18,-1,6,-0.02879331339106875
47,48,IVV,2020-03-12,2020-03-19,-1,6,-0.01987666641986501
48,49,IVV,2020-03-13,2020-03-17,1,2,0.004975165426584046
49,50,IVV,2020-03-16,2020-03-23,-1,6,-0.029922595674678133
50,51,IVV,2020-03-17,2020-03-18,1,1,0.009950330853168092
51,52,IVV,2020-03-18,2020-03-25,1,6,0.0016583884755280154
52,53,IVV,2020-03-19,2020-03-19,1,1,0.009950330853168092
53,54,IVV,2020-03-20,2020-03-24,1,3,0.003316776951056031
54,55,IVV,2020-03-23,2020-03-24,1,2,0.004975165426584046
55,56,IVV,2020-03-24,,0,3,
56,57,IVV,2020-03-25,2020-03-25,1,1,0.009950330853168092
57,58,IVV,2020-03-26,,0,3,
58,59,IVV,2020-03-27,2020-03-30,1,2,0.004975165426584046
59,60,IVV,2020-03-30,2020-04-06,1,4,0.002487582713292023
